numero finess etablissement juridique,numero finess etablissement,libelle description equipement sociaux,libta_equipement,rsej,activite,libelle activite,forme,libelle forme,nofinessej_1,raison_sociale,rslongue,code commune,departement,libelle departement,categetab,categorie,latitude,longitude,type d etablissements,code_insee
750806606,090003963,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement de Nuit Eclaté,,,,,,750806606,CADA FRANCE HORIZON,CENTRE D'ACCUEIL POUR DEMANDEURS D'ASILE,122,09,ARIEGE,443,Centre Accueil Demandeurs Asile (C.A.D.A.),42.970985611235164,1.607469873284578,Social / Hébergement,09122
090784380,090003971,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement Complet Internat,,,,,,090784380,CADA HERISSON BELLOR,CENTRE D'ACCUEIL POUR DEMANDEURS D'ASILE,185,09,ARIEGE,443,Centre Accueil Demandeurs Asile (C.A.D.A.),43.25267640440907,1.6781109830568601,Social / Hébergement,09185
090000076,090003989,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement Complet Internat,,,,,,090000076,CADA INSTITUT PROTESTANT,CENTRE D'ACCUEIL DE DEMANDEURS D'ASILE,282,09,ARIEGE,443,Centre Accueil Demandeurs Asile (C.A.D.A.),43.23189614375511,1.5785954458221454,Social / Hébergement,09282
090002825,090781832,Action Médico-Sociale Précoce,Traitement et Cure Ambulatoire,,,,,,090002825,CAMSP DE FOIX,CENTRE D'ACTION MEDICO SOCIALE PRECOCE,122,09,ARIEGE,190,Centre Action Médico-Sociale Précoce (C.A.M.S.P.),42.96170629330998,1.6080564320385073,Médico-social handicap,09122
090002825,090784109,Action Médico-Sociale Précoce,Traitement et Cure Ambulatoire,,,,,,090002825,CAMSP DE PAMIERS,CENTRE D'ACTION MEDICO SOCIALE PRECOCE,225,09,ARIEGE,190,Centre Action Médico-Sociale Précoce (C.A.M.S.P.),43.11182974140759,1.6094570318684402,Médico-social handicap,09225
,090784638,,,,,,,,090781816,CATTP ORRY PIJ ST GIRONS CHAC,CATTP ORRY PIJ ST GIRONS CHAC,261,09,ARIEGE,425,Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.),42.985289818911035,1.1477107142273228,Centres d'accueil,09261
,090004433,,,,,,,,090004425,CDS AMBROISE CROIZAT DE LAVELANET,CENTRE DE SANTE AMBROISE CROIZAT DE LAVELANET,160,09,ARIEGE,124,Centre de Santé,42.937686170227416,1.8516792239136255,Soins de ville,09160
,090005166,,,,,,,,310034392,CDS DE MA REGION A LES CABANNES,CENTRE DE SANTE DE MA REGION A LES CABANNES,070,09,ARIEGE,124,Centre de Santé,42.784598773391615,1.6897627057348301,Soins de ville,09070
090784232,090005174,Accueil au titre de la protection de l'enfance,Hébergement Complet Internat,,,,,,090784232,CEF LE VERNET,CENTRE EDUCATIF FERME LE VERNET,331,09,ARIEGE,241,Etablissement de Placement,43.18453005825358,1.5953813908595174,Autres,09331
,090005182,,,,,,,,090781774,CEGIDD09 CHIVA PAMIERS SITE PRINCIPAL,CENTRE GRATUIT INFORMATION DEPISTAGE DIAGNOSTIC PAMIERS,225,09,ARIEGE,638,Centre gratuit d'information de dépistage et de diagnostic,43.11563663132428,1.6099377241196047,Prévention / Santé publique,09225
,090784182,,,,,,,,310789136,CENTRE CONSULTATIONS CANCER FOIX,CENTRE DE CONSULTATION AVANCEE CONTRE LE CANCER,122,09,ARIEGE,294,Centre de Consultations Cancer,42.96347181330122,1.60561853498496,Hopitaux cliniques,09122
,090784190,,,,,,,,310789136,CENTRE CONSULTATIONS CANCER PAMIERS,CENTRE DE CONSULTATIONS AVANCEES CONTRE LE CANCER,225,09,ARIEGE,294,Centre de Consultations Cancer,43.113389633330044,1.6062565258608277,Hopitaux cliniques,09225
090783044,090783267,Consultation d'Orientation Pour Mineurs Justice,Prestation en milieu ordinaire,,,,,,090783044,CENTRE D'ACTION EDUCATIVE FOIX,CENTRE D'ACTION EDUCATIVE FOIX,122,09,ARIEGE,441,Service d'Intervention Educative en Milieu Ouvert,42.964759810985505,1.6028453928549382,Enfance / Protection,09122
090783044,090783267,Consultation d'Orientation Pour Mineurs Justice,Consultation Soins Externes,,,,,,090783044,CENTRE D'ACTION EDUCATIVE FOIX,CENTRE D'ACTION EDUCATIVE FOIX,122,09,ARIEGE,441,Service d'Intervention Educative en Milieu Ouvert,42.964759810985505,1.6028453928549382,Enfance / Protection,09122
090783044,090783267,Observation Orientation Pour Mineurs Justice,Consultation Soins Externes,,,,,,090783044,CENTRE D'ACTION EDUCATIVE FOIX,CENTRE D'ACTION EDUCATIVE FOIX,122,09,ARIEGE,441,Service d'Intervention Educative en Milieu Ouvert,42.964759810985505,1.6028453928549382,Enfance / Protection,09122
090783044,090783267,Réalisation d'Enquêtes sociales,Prestation en milieu ordinaire,,,,,,090783044,CENTRE D'ACTION EDUCATIVE FOIX,CENTRE D'ACTION EDUCATIVE FOIX,122,09,ARIEGE,441,Service d'Intervention Educative en Milieu Ouvert,42.964759810985505,1.6028453928549382,Enfance / Protection,09122
310788104,090001579,Accueil temporaire pour Personnes Âgées,Accueil de Jour,,,,,,310788104,CENTRE DE JOUR POUR PERSONNES ÂGEES,,261,09,ARIEGE,207,Centre de Jour pour Personnes Agées,42.9886221740398,1.1440236539734232,Personnes âgées,09261
,090784166,,,,,,,,810099903,CENTRE DE SANTE DENTAIRE DE FOIX,CENTRE DE SANTE DENTAIRE MUTUALISTE - FOIX,122,09,ARIEGE,124,Centre de Santé,42.951051258502496,1.6255889495153966,Soins de ville,09122
,090004839,,,,,,,,310034392,CENTRE DE SANTE SAINTE CROIX VOLVESTRE,CENTRE DE SANTÉ DE MA REGION - SAINTE CROIX VOLVESTRE,257,09,ARIEGE,124,Centre de Santé,43.12565195855938,1.174667000384473,Soins de ville,09257
,090004235,,,,,,,,090004227,CES CPAM ARIEGE,CENTRE D'EXAMENS DE SANTE CPAM ARIEGE,122,09,ARIEGE,347,Centre d'Examens de Santé,42.96533365191337,1.5944947394503315,Autres,09122
,090000183,,,CH ARIEGE COUSERANS,14,Médecine d'urgence,14,Non saisonnier,090781816,CH ARIEGE COUSERANS SITE ST LIZIER,CENTRE HOSPITALIER ARIEGE COUSERANS SITE SAINT LIZIER,268,09,ARIEGE,355,Centre Hospitalier (C.H.),42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090000183,,,CH ARIEGE COUSERANS,02,Chirurgie,01,Hospitalisation complète (24 heures consécutives ou plus),090781816,CH ARIEGE COUSERANS SITE ST LIZIER,CENTRE HOSPITALIER ARIEGE COUSERANS SITE SAINT LIZIER,268,09,ARIEGE,355,Centre Hospitalier (C.H.),42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090000183,,,CH ARIEGE COUSERANS,02,Chirurgie,07,Chirurgie ambulatoire,090781816,CH ARIEGE COUSERANS SITE ST LIZIER,CENTRE HOSPITALIER ARIEGE COUSERANS SITE SAINT LIZIER,268,09,ARIEGE,355,Centre Hospitalier (C.H.),42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090000183,,,CH ARIEGE COUSERANS,01,Médecine,02,Hospitalisation à temps partiel de jour ou de nuit,090781816,CH ARIEGE COUSERANS SITE ST LIZIER,CENTRE HOSPITALIER ARIEGE COUSERANS SITE SAINT LIZIER,268,09,ARIEGE,355,Centre Hospitalier (C.H.),42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090000183,,,CH ARIEGE COUSERANS,01,Médecine,01,Hospitalisation complète (24 heures consécutives ou plus),090781816,CH ARIEGE COUSERANS SITE ST LIZIER,CENTRE HOSPITALIER ARIEGE COUSERANS SITE SAINT LIZIER,268,09,ARIEGE,355,Centre Hospitalier (C.H.),42.99901056368797,1.128548601563905,Hopitaux cliniques,09268
,090000019,,,,,,,,090180019,CH SAINT LOUIS AX LES THERMES,CENTRE HOSPITALIER SAINT LOUIS AX LES THERMES,032,09,ARIEGE,106,"Centre hospitalier, ex Hôpital local",42.71981906685954,1.8396637717032707,Hopitaux cliniques,09032
,090001629,,,CHIVA,01,Médecine,02,Hospitalisation à temps partiel de jour ou de nuit,090781774,CHIVA SITE LAVELANET,CHIVA SITE LAVELANET CH DU PAYS D'OLMES (HOP PROXIMITE),160,09,ARIEGE,355,Centre Hospitalier (C.H.),42.929937309162895,1.8582031528880394,Hopitaux cliniques,09160
,090001629,,,CHIVA,01,Médecine,01,Hospitalisation complète (24 heures consécutives ou plus),090781774,CHIVA SITE LAVELANET,CHIVA SITE LAVELANET CH DU PAYS D'OLMES (HOP PROXIMITE),160,09,ARIEGE,355,Centre Hospitalier (C.H.),42.929937309162895,1.8582031528880394,Hopitaux cliniques,09160
,090000175,,,CHIVA,18,Traitement du cancer,00,Pas de forme,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,02,Chirurgie,01,Hospitalisation complète (24 heures consécutives ou plus),090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,01,Médecine,01,Hospitalisation complète (24 heures consécutives ou plus),090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,16,Traitement de l'insuffisance rénale chronique par épuration extrarénale,00,Pas de forme,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,02,Chirurgie,07,Chirurgie ambulatoire,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,18,Traitement du cancer,15,Forme non précisée,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,14,Médecine d'urgence,14,Non saisonnier,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,01,Médecine,02,Hospitalisation à temps partiel de jour ou de nuit,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
,090000175,,,CHIVA,14,Médecine d'urgence,00,Pas de forme,090781774,CHIVA SITE ST JEAN DE VERGES,CHIVA SITE SAINT JEAN DE VERGES,264,09,ARIEGE,355,Centre Hospitalier (C.H.),43.02834633314914,1.615950938557682,Hopitaux cliniques,09264
090784380,090002403,"Hébergement de Stabilisation Adultes,familles Difficulté",Hébergement Complet Internat,,,,,,090784380,CHRS DE PAMIERS ASSOC HERISSON BELLOR,,225,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.11825481390956,1.619348641214024,Social / Hébergement,09225
090784380,090002403,"Hébergement d'insertion Adultes,Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090784380,CHRS DE PAMIERS ASSOC HERISSON BELLOR,,225,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.11825481390956,1.619348641214024,Social / Hébergement,09225
090784380,090002403,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090784380,CHRS DE PAMIERS ASSOC HERISSON BELLOR,,225,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.11825481390956,1.619348641214024,Social / Hébergement,09225
090784380,090002403,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,090784380,CHRS DE PAMIERS ASSOC HERISSON BELLOR,,225,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.11825481390956,1.619348641214024,Social / Hébergement,09225
090784380,090780198,Hébergement Réadapt. Sociale Pers.Familles en Difficulté,Hébergement Complet Internat,,,,,,090784380,CHRS HERISSON-BELLOR MAZERES,CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE,185,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.25267640440907,1.6781109830568601,Social / Hébergement,09185
090784380,090780198,"Hébergement d'insertion Adultes,Familles Difficulté",Hébergement Complet Internat,,,,,,090784380,CHRS HERISSON-BELLOR MAZERES,CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE,185,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.25267640440907,1.6781109830568601,Social / Hébergement,09185
090784380,090780198,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090784380,CHRS HERISSON-BELLOR MAZERES,CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE,185,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.25267640440907,1.6781109830568601,Social / Hébergement,09185
090784380,090780198,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,090784380,CHRS HERISSON-BELLOR MAZERES,CENTRE D'HEBERGEMENT ET DE READAPTATION SOCIALE,185,09,ARIEGE,214,Centre Hébergement & Réinsertion Sociale (C.H.R.S.),43.25267640440907,1.6781109830568601,Social / Hébergement,09185
090004409,090004417,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090004409,CHU DU CCAS SAVERDUN,CENTRE D'HEBERGEMENT D'URGENCE -CCAS SAVERDUN,282,09,ARIEGE,219,Autre Centre d'Accueil,43.24024543479366,1.5749380628926972,Centres d'accueil,09282
090004441,090004458,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,090004441,CHU DU CIAS DU PAYS D'OLMES,CENTRE D'HEBERGEMENT DU CENTRE INTERCOMMUNAL ACTION SOCIALE,160,09,ARIEGE,219,Autre Centre d'Accueil,42.931418438392,1.8461485598883949,Centres d'accueil,09160
750806606,090004052,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,750806606,CHU FRANCE HORIZON,CENTRE D'HEBERGEMENT D'URGENCE FRANCE HORIZON,122,09,ARIEGE,219,Autre Centre d'Accueil,42.96724028500136,1.6085837386867814,Centres d'accueil,09122
750806606,090004052,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,750806606,CHU FRANCE HORIZON,CENTRE D'HEBERGEMENT D'URGENCE FRANCE HORIZON,122,09,ARIEGE,219,Autre Centre d'Accueil,42.96724028500136,1.6085837386867814,Centres d'accueil,09122
090000076,090004045,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090000076,"CHU LIEU DIT ""BELJUEL""",,282,09,ARIEGE,219,Autre Centre d'Accueil,43.233715393315464,1.5759421130730302,Centres d'accueil,09282
090784380,090004037,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement de Nuit Eclaté,,,,,,090784380,CHU-ACCUEIL DE JOUR HERISSON BELOR,CENTRE D'HEBERGEMENT D'URGENCE ET ACCUEIL DE JOUR,225,09,ARIEGE,219,Autre Centre d'Accueil,43.11825481390956,1.619348641214024,Centres d'accueil,09225
090784380,090004037,Soutien et accompagnement social,Accueil de Jour,,,,,,090784380,CHU-ACCUEIL DE JOUR HERISSON BELOR,CENTRE D'HEBERGEMENT D'URGENCE ET ACCUEIL DE JOUR,225,09,ARIEGE,219,Autre Centre d'Accueil,43.11825481390956,1.619348641214024,Centres d'accueil,09225
090784380,090004037,"Hébergement d'Urgence Adultes, Familles Difficulté",Hébergement Complet Internat,,,,,,090784380,CHU-ACCUEIL DE JOUR HERISSON BELOR,CENTRE D'HEBERGEMENT D'URGENCE ET ACCUEIL DE JOUR,225,09,ARIEGE,219,Autre Centre d'Accueil,43.11825481390956,1.619348641214024,Centres d'accueil,09225
,090005273,,,,,,,,090005265,CINA,CENTRE D'IMAGERIE NUCLEAIRE ARIEGEOIS,122,09,ARIEGE,698,Autre Etablissement Loi Hospitalière,42.96517322023471,1.6062144841848616,Hopitaux cliniques,09122
,090003476,,,,,,,,090003468,CLIC ARIZE-LEZE,CLIC ARIZE-LEZE,124,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),43.170721242253535,1.4121818874527778,Coordination / Administration,09124
,090003336,,,,,,,,090005315,CLIC DE MIREPOIX,CLIC DE MIREPOIX,194,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),43.08789760416962,1.8713083964950803,Coordination / Administration,09194
,090003393,,,,,,,,090003385,CLIC DE PAMIERS,CLIC DE PAMIERS,225,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),43.11163845819655,1.6094125165990856,Coordination / Administration,09225
,090003351,,,,,,,,090003344,CLIC DES QUATRE CANTONS,CLIC DES QUATRE CANTONS,261,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.98273530140364,1.1472054495764392,Coordination / Administration,09261
,090003328,,,,,,,,090003310,CLIC DES TROIS CANTONS,CLIC DES TROIS CANTONS,261,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.98273530140364,1.1472054495764392,Coordination / Administration,09261
,090003419,,,,,,,,090003401,CLIC DES VALLEES AX,CLIC DES VALLEES D'AX ET DU DONEZAN,176,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.76077431210098,1.763183004834582,Coordination / Administration,09176
,090003377,,,,,,,,090003369,CLIC DU CANTON DE SAVERDUN,,282,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),43.23510009508327,1.5743144917973106,Coordination / Administration,09282
,090003302,,,,,,,,090004953,CLIC DU CIAS ANTENNE DE VARILHES,CLIC DU CIAS -ANTENNE DE VARILHES,324,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),43.04515741956838,1.627975279983182,Coordination / Administration,09324
,090003435,,,,,,,,090003427,CLIC DU PAYS DE FOIX,CLIC DU PAYS DE FOIX,122,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.96404332221517,1.6053684221303437,Coordination / Administration,09122
,090005323,,,,,,,,090004953,CLIC FOIX VARILHES,CLIC FOIX VARILHES,122,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.960295169972206,1.609455770679862,Coordination / Administration,09122
,090003450,,,,,,,,090003443,CLIC TARASCON - AUZAT - VICDESSOS,CLIC DES PAYS DE TARASCON ET D'AUZAT VICDESSOS,306,09,ARIEGE,463,Centres Locaux Information Coordination P.A .(C.L.I.C.),42.84816444685811,1.6053314815168105,Coordination / Administration,09306
,090784570,,,,,,,,090781816,CMP ADULTE FOIX HAUTE ARIEGE CHAC,CMP ADULTE FOIX HAUTE ARIEGE CHAC,122,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),42.96359444374522,1.606127512568658,Soins de ville,09122
,090784521,,,,,,,,090781816,CMP ADULTES LAVELANET CHAC,CMP ADULTES LAVELANET CHAC,160,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),42.93259499328545,1.8421496395460983,Soins de ville,09160
,090003146,,,,,,,,090781816,CMP ADULTES SAINT-GIRONS CHAC,CMP ADULTES SAINT-GIRONS CHAC,261,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),42.9829455681121,1.1441662096049108,Soins de ville,09261
,090784596,,,,,,,,090781816,CMP DU COUSERANS PIJ CHAC,CMP DU COUSERANS PIJ CHAC,261,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),42.98342784529508,1.1462582334299671,Soins de ville,09261
,090784604,,,,,,,,090781816,CMP ENFANTS LAVELANET PIJ,CMP ENFANTS LAVELANET CH ARIEGE COUSERANS,160,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),42.93259499328545,1.8421496395460983,Soins de ville,09160
,090783473,,,,,,,,090781816,CMP PAMIERS CHAC,CMP PAMIERS CH ARIEGE COUSERANS,225,09,ARIEGE,156,Centre Médico-Psychologique (C.M.P.),43.110640172250754,1.6083855036020305,Soins de ville,09225
090002825,090780388,Activité C.M.P.P.,Accueil de jour et accompagnement en milieu ordinaire,,,,,,090002825,CMPP FOIX,CENTRE MEDICO PSYCHO PEDAGOGIQUE FOIX,122,09,ARIEGE,189,Centre Médico-Psycho-Pédagogique (C.M.P.P.),42.96347181330122,1.60561853498496,Soins de ville,09122
,090782756,,,,,,,,090784331,CPEF FOIX,CENTRE DE PLANIFICATION ET D'EDUCATION FAMILIALE FOIX,122,09,ARIEGE,228,Centre de santé sexuelle,42.96093334678307,1.6058804165031373,Soins de ville,09122
,090003021,,,,,,,,090784331,CPEF LAVELANET,CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE LAVELANET,160,09,ARIEGE,228,Centre de santé sexuelle,42.92623688793304,1.839617072717147,Soins de ville,09160
,090003013,,,,,,,,090784331,CPEF MIREPOIX,CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE MIREPOIX,194,09,ARIEGE,228,Centre de santé sexuelle,43.08744556960513,1.872035159616218,Soins de ville,09194
,090782764,,,,,,,,090784331,CPEF PAMIERS,CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE PAMIERS,225,09,ARIEGE,228,Centre de santé sexuelle,43.114055118039296,1.6089565824482108,Soins de ville,09225
,090782772,,,,,,,,090784331,CPEF ST GIRONS,CENTRE DE PLANIFICATION OU D'EDUCATION FAMILIALE ST GIRONS,261,09,ARIEGE,228,Centre de santé sexuelle,42.984201655017,1.1427230378763054,Soins de ville,09261
750806606,090004540,Accueil Temporaire d'Urgence Pr Adultes & Familles,Hébergement de Nuit Eclaté,,,,,,750806606,CPH FRANCE HORIZON,CENTRE PROVISOIRE D'HEBERGEMENT FRANCE HORIZON,122,09,ARIEGE,442,Centre Provisoire Hébergement (C.P.H.),42.970985611235164,1.607469873284578,Social / Hébergement,09122
,090004912,,,,,,,,090004904,CPTS ARIEGE COUSERANS,ASSOCIATION AVENIR COUSERANS SANTE,261,09,ARIEGE,604,Communautés professionnelles territoriales de santé (CPTS),42.98300276811089,1.148737052438257,Coordination / Administration,09261
,090004755,,,,,,,,090004748,CPTS ARIEGE PYRENEES,,122,09,ARIEGE,604,Communautés professionnelles territoriales de santé (CPTS),42.96697890401593,1.6047944311993159,Coordination / Administration,09122
