annee,dept,libelle_classe_age,patho_niv1,Npop,Ntop,prev_calculee
2015,9,de 25 à 29 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",13720,1320.0,9.62
2015,9,de 25 à 29 ans,Maladies cardioneurovasculaires,20580,90.0,0.44
2015,9,de 25 à 29 ans,Maladies du foie ou du pancréas (hors mucoviscidose),13720,60.0,0.44
2015,9,de 25 à 29 ans,Maladies inflammatoires ou rares ou infection VIH,44600,280.0,0.63
2015,9,de 25 à 29 ans,Maladies neurologiques,41160,250.0,0.61
2015,9,de 25 à 29 ans,Maladies psychiatriques,82320,920.0,1.12
2015,9,de 25 à 29 ans,Maladies respiratoires chroniques (hors mucoviscidose),13720,330.0,2.41
2015,9,de 25 à 29 ans,Maternité (avec ou sans pathologies),6880,1400.0,20.35
2015,9,de 25 à 29 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",13720,240.0,1.75
2015,9,de 25 à 29 ans,Traitements du risque vasculaire (hors pathologies),27440,160.0,0.58
2015,9,de 25 à 29 ans,Traitements psychotropes (hors pathologies),54880,790.0,1.44
2015,9,de 30 à 34 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,14740,120.0,0.81
2015,9,de 30 à 34 ans,Cancers,55430,450.0,0.81
2015,9,de 30 à 34 ans,Diabète,14740,100.0,0.68
2015,9,de 30 à 34 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",14740,1400.0,9.5
2015,9,de 30 à 34 ans,Maladies cardioneurovasculaires,40690,160.0,0.39
2015,9,de 30 à 34 ans,Maladies du foie ou du pancréas (hors mucoviscidose),14740,60.0,0.41
2015,9,de 30 à 34 ans,Maladies inflammatoires ou rares ou infection VIH,58960,390.0,0.66
2015,9,de 30 à 34 ans,Maladies neurologiques,51590,280.0,0.54
2015,9,de 30 à 34 ans,Maladies psychiatriques,81070,1160.0,1.43
2015,9,de 30 à 34 ans,Maladies respiratoires chroniques (hors mucoviscidose),14740,430.0,2.92
2015,9,de 30 à 34 ans,Maternité (avec ou sans pathologies),7680,1540.0,20.05
2015,9,de 30 à 34 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",14740,240.0,1.63
2015,9,de 30 à 34 ans,Traitements du risque vasculaire (hors pathologies),40380,320.0,0.79
2015,9,de 30 à 34 ans,Traitements psychotropes (hors pathologies),69860,1380.0,1.98
2015,9,de 35 à 39 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,16170,180.0,1.11
2015,9,de 35 à 39 ans,Cancers,69310,610.0,0.88
2015,9,de 35 à 39 ans,Diabète,16170,180.0,1.11
2015,9,de 35 à 39 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",16170,1600.0,9.89
2015,9,de 35 à 39 ans,Maladies cardioneurovasculaires,76590,280.0,0.37
2015,9,de 35 à 39 ans,Maladies du foie ou du pancréas (hors mucoviscidose),16170,110.0,0.68
2015,9,de 35 à 39 ans,Maladies inflammatoires ou rares ou infection VIH,92770,550.0,0.59
2015,9,de 35 à 39 ans,Maladies neurologiques,64670,320.0,0.49
2015,9,de 35 à 39 ans,Maladies psychiatriques,92780,1420.0,1.53
2015,9,de 35 à 39 ans,Maladies respiratoires chroniques (hors mucoviscidose),16170,500.0,3.09
2015,9,de 35 à 39 ans,Maternité (avec ou sans pathologies),8480,840.0,9.91
2015,9,de 35 à 39 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",16170,320.0,1.98
2015,9,de 35 à 39 ans,Traitements du risque vasculaire (hors pathologies),48510,840.0,1.73
2015,9,de 35 à 39 ans,Traitements psychotropes (hors pathologies),76610,2250.0,2.94
2015,9,de 40 à 44 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,18160,260.0,1.43
2015,9,de 40 à 44 ans,Cancers,100960,1020.0,1.01
2015,9,de 40 à 44 ans,Diabète,18160,230.0,1.27
2015,9,de 40 à 44 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",18160,2120.0,11.67
2015,9,de 40 à 44 ans,Maladies cardioneurovasculaires,130760,680.0,0.52
2015,9,de 40 à 44 ans,Maladies du foie ou du pancréas (hors mucoviscidose),18160,140.0,0.77
2015,9,de 40 à 44 ans,Maladies inflammatoires ou rares ou infection VIH,136200,960.0,0.7
2015,9,de 40 à 44 ans,Maladies neurologiques,72640,430.0,0.59
2015,9,de 40 à 44 ans,Maladies psychiatriques,104240,1900.0,1.82
2015,9,de 40 à 44 ans,Maladies respiratoires chroniques (hors mucoviscidose),18160,680.0,3.74
2015,9,de 40 à 44 ans,Maternité (avec ou sans pathologies),9440,240.0,2.54
2015,9,de 40 à 44 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",18160,350.0,1.93
2015,9,de 40 à 44 ans,Traitements du risque vasculaire (hors pathologies),54480,1820.0,3.34
2015,9,de 40 à 44 ans,Traitements psychotropes (hors pathologies),90800,3290.0,3.62
2015,9,de 45 à 49 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,19240,290.0,1.51
2015,9,de 45 à 49 ans,Cancers,125780,1460.0,1.16
2015,9,de 45 à 49 ans,Diabète,19240,540.0,2.81
2015,9,de 45 à 49 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",19240,2230.0,11.59
2015,9,de 45 à 49 ans,Insuffisance rénale chronique terminale,9620,10.0,0.1
2015,9,de 45 à 49 ans,Maladies cardioneurovasculaires,191920,1720.0,0.9
2015,9,de 45 à 49 ans,Maladies du foie ou du pancréas (hors mucoviscidose),19240,250.0,1.3
2015,9,de 45 à 49 ans,Maladies inflammatoires ou rares ou infection VIH,144300,880.0,0.61
2015,9,de 45 à 49 ans,Maladies neurologiques,86580,620.0,0.72
2015,9,de 45 à 49 ans,Maladies psychiatriques,125060,2540.0,2.03
2015,9,de 45 à 49 ans,Maladies respiratoires chroniques (hors mucoviscidose),19240,750.0,3.9
2015,9,de 45 à 49 ans,Maternité (avec ou sans pathologies),9860,40.0,0.41
2015,9,de 45 à 49 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",19240,400.0,2.08
2015,9,de 45 à 49 ans,Traitements du risque vasculaire (hors pathologies),57720,3580.0,6.2
2015,9,de 45 à 49 ans,Traitements psychotropes (hors pathologies),96200,4050.0,4.21
2015,9,de 5 à 9 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,15700,170.0,1.08
2015,9,de 5 à 9 ans,Cancers,15700,20.0,0.13
2015,9,de 5 à 9 ans,Diabète,7850,10.0,0.13
2015,9,de 5 à 9 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",15700,930.0,5.92
2015,9,de 5 à 9 ans,Maladies cardioneurovasculaires,23920,80.0,0.33
2015,9,de 5 à 9 ans,Maladies inflammatoires ou rares ou infection VIH,31770,70.0,0.22
2015,9,de 5 à 9 ans,Maladies neurologiques,39250,230.0,0.59
2015,9,de 5 à 9 ans,Maladies psychiatriques,31400,490.0,1.56
2015,9,de 5 à 9 ans,Maladies respiratoires chroniques (hors mucoviscidose),15700,1010.0,6.43
2015,9,de 5 à 9 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",15700,280.0,1.78
2015,9,de 50 à 54 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,20520,410.0,2.0
2015,9,de 50 à 54 ans,Cancers,180250,2350.0,1.3
2015,9,de 50 à 54 ans,Diabète,20520,890.0,4.34
2015,9,de 50 à 54 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",20520,2920.0,14.23
2015,9,de 50 à 54 ans,Insuffisance rénale chronique terminale,25750,40.0,0.16
2015,9,de 50 à 54 ans,Maladies cardioneurovasculaires,246040,2900.0,1.18
2015,9,de 50 à 54 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20520,310.0,1.51
2015,9,de 50 à 54 ans,Maladies inflammatoires ou rares ou infection VIH,148870,1080.0,0.73
2015,9,de 50 à 54 ans,Maladies neurologiques,102600,740.0,0.72
2015,9,de 50 à 54 ans,Maladies psychiatriques,123120,2800.0,2.27
2015,9,de 50 à 54 ans,Maladies respiratoires chroniques (hors mucoviscidose),20520,1060.0,5.17
2015,9,de 50 à 54 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",20520,420.0,2.05
2015,9,de 50 à 54 ans,Traitements du risque vasculaire (hors pathologies),61560,5830.0,9.47
2015,9,de 50 à 54 ans,Traitements psychotropes (hors pathologies),102600,5290.0,5.16
2015,9,de 55 à 59 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,20420,480.0,2.35
2015,9,de 55 à 59 ans,Cancers,245040,3610.0,1.47
2015,9,de 55 à 59 ans,Diabète,20420,1450.0,7.1
2015,9,de 55 à 59 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",20420,3340.0,16.36
2015,9,de 55 à 59 ans,Insuffisance rénale chronique terminale,25350,40.0,0.16
2015,9,de 55 à 59 ans,Maladies cardioneurovasculaires,260180,4500.0,1.73
2015,9,de 55 à 59 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20420,410.0,2.01
2015,9,de 55 à 59 ans,Maladies inflammatoires ou rares ou infection VIH,173920,1380.0,0.79
2015,9,de 55 à 59 ans,Maladies neurologiques,102100,670.0,0.66
2015,9,de 55 à 59 ans,Maladies psychiatriques,122520,2880.0,2.35
2015,9,de 55 à 59 ans,Maladies respiratoires chroniques (hors mucoviscidose),20420,1320.0,6.46
2015,9,de 55 à 59 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",20420,360.0,1.76
2015,9,de 55 à 59 ans,Traitements du risque vasculaire (hors pathologies),61260,8860.0,14.46
2015,9,de 55 à 59 ans,Traitements psychotropes (hors pathologies),102100,6200.0,6.07
2015,9,de 60 à 64 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,20860,670.0,3.21
2015,9,de 60 à 64 ans,Cancers,260750,4800.0,1.84
2015,9,de 60 à 64 ans,Diabète,20860,2120.0,10.16
2015,9,de 60 à 64 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",20860,3600.0,17.26
2015,9,de 60 à 64 ans,Insuffisance rénale chronique terminale,26080,40.0,0.15
2015,9,de 60 à 64 ans,Maladies cardioneurovasculaires,276410,6780.0,2.45
2015,9,de 60 à 64 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20860,340.0,1.63
2015,9,de 60 à 64 ans,Maladies inflammatoires ou rares ou infection VIH,177310,1470.0,0.83
2015,9,de 60 à 64 ans,Maladies neurologiques,130380,850.0,0.65
2015,9,de 60 à 64 ans,Maladies psychiatriques,114730,2700.0,2.35
2015,9,de 60 à 64 ans,Maladies respiratoires chroniques (hors mucoviscidose),20860,1620.0,7.77
2015,9,de 60 à 64 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",20860,280.0,1.34
2015,9,de 60 à 64 ans,Traitements du risque vasculaire (hors pathologies),62580,12250.0,19.57
2015,9,de 60 à 64 ans,Traitements psychotropes (hors pathologies),104300,6580.0,6.31
2015,9,de 65 à 69 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,20480,760.0,3.71
2015,9,de 65 à 69 ans,Cancers,261070,6740.0,2.58
2015,9,de 65 à 69 ans,Diabète,20480,2880.0,14.06
2015,9,de 65 à 69 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",20480,4020.0,19.63
2015,9,de 65 à 69 ans,Insuffisance rénale chronique terminale,25550,70.0,0.27
2015,9,de 65 à 69 ans,Maladies cardioneurovasculaires,276380,9240.0,3.34
2015,9,de 65 à 69 ans,Maladies du foie ou du pancréas (hors mucoviscidose),20480,310.0,1.51
2015,9,de 65 à 69 ans,Maladies inflammatoires ou rares ou infection VIH,158670,1420.0,0.89
2015,9,de 65 à 69 ans,Maladies neurologiques,143360,950.0,0.66
2015,9,de 65 à 69 ans,Maladies psychiatriques,117710,2460.0,2.09
2015,9,de 65 à 69 ans,Maladies respiratoires chroniques (hors mucoviscidose),20480,1870.0,9.13
2015,9,de 65 à 69 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",20480,260.0,1.27
2015,9,de 65 à 69 ans,Traitements du risque vasculaire (hors pathologies),61440,15340.0,24.97
2015,9,de 65 à 69 ans,Traitements psychotropes (hors pathologies),102400,7500.0,7.32
2015,9,de 70 à 74 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,13760,680.0,4.94
2015,9,de 70 à 74 ans,Cancers,175290,6150.0,3.51
2015,9,de 70 à 74 ans,Diabète,13760,2260.0,16.42
2015,9,de 70 à 74 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",13760,3290.0,23.91
2015,9,de 70 à 74 ans,Insuffisance rénale chronique terminale,20340,70.0,0.34
2015,9,de 70 à 74 ans,Maladies cardioneurovasculaires,192640,8410.0,4.37
2015,9,de 70 à 74 ans,Maladies du foie ou du pancréas (hors mucoviscidose),13760,190.0,1.38
2015,9,de 70 à 74 ans,Maladies inflammatoires ou rares ou infection VIH,96020,1060.0,1.1
2015,9,de 70 à 74 ans,Maladies neurologiques,72090,1040.0,1.44
2015,9,de 70 à 74 ans,Maladies psychiatriques,68800,1540.0,2.24
2015,9,de 70 à 74 ans,Maladies respiratoires chroniques (hors mucoviscidose),13760,1450.0,10.54
2015,9,de 70 à 74 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",13760,130.0,0.94
2015,9,de 70 à 74 ans,Traitements du risque vasculaire (hors pathologies),41280,12050.0,29.19
2015,9,de 70 à 74 ans,Traitements psychotropes (hors pathologies),68800,6330.0,9.2
2015,9,de 75 à 79 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,12020,720.0,5.99
2015,9,de 75 à 79 ans,Cancers,146270,5770.0,3.94
2015,9,de 75 à 79 ans,Diabète,12020,2310.0,19.22
2015,9,de 75 à 79 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",12020,3100.0,25.79
2015,9,de 75 à 79 ans,Insuffisance rénale chronique terminale,17380,60.0,0.35
2015,9,de 75 à 79 ans,Maladies cardioneurovasculaires,170960,10360.0,6.06
2015,9,de 75 à 79 ans,Maladies du foie ou du pancréas (hors mucoviscidose),12020,210.0,1.75
2015,9,de 75 à 79 ans,Maladies inflammatoires ou rares ou infection VIH,86820,950.0,1.09
2015,9,de 75 à 79 ans,Maladies neurologiques,56770,1570.0,2.77
2015,9,de 75 à 79 ans,Maladies psychiatriques,60100,1400.0,2.33
2015,9,de 75 à 79 ans,Maladies respiratoires chroniques (hors mucoviscidose),12020,1370.0,11.4
2015,9,de 75 à 79 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",12020,120.0,1.0
2015,9,de 75 à 79 ans,Traitements du risque vasculaire (hors pathologies),36060,11180.0,31.0
2015,9,de 75 à 79 ans,Traitements psychotropes (hors pathologies),60100,6700.0,11.15
2015,9,de 80 à 84 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,11620,860.0,7.4
2015,9,de 80 à 84 ans,Cancers,141860,6070.0,4.28
2015,9,de 80 à 84 ans,Diabète,11620,2160.0,18.59
2015,9,de 80 à 84 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",11620,3100.0,26.68
2015,9,de 80 à 84 ans,Insuffisance rénale chronique terminale,16460,100.0,0.61
2015,9,de 80 à 84 ans,Maladies cardioneurovasculaires,168490,13420.0,7.96
2015,9,de 80 à 84 ans,Maladies du foie ou du pancréas (hors mucoviscidose),11620,170.0,1.46
2015,9,de 80 à 84 ans,Maladies inflammatoires ou rares ou infection VIH,77950,1170.0,1.5
2015,9,de 80 à 84 ans,Maladies neurologiques,60520,2860.0,4.73
2015,9,de 80 à 84 ans,Maladies psychiatriques,58100,1630.0,2.81
2015,9,de 80 à 84 ans,Maladies respiratoires chroniques (hors mucoviscidose),11620,1460.0,12.56
2015,9,de 80 à 84 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",11620,100.0,0.86
2015,9,de 80 à 84 ans,Traitements du risque vasculaire (hors pathologies),34860,10950.0,31.41
2015,9,de 80 à 84 ans,Traitements psychotropes (hors pathologies),58100,7870.0,13.55
2015,9,de 85 à 89 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,8690,880.0,10.13
2015,9,de 85 à 89 ans,Cancers,92820,4300.0,4.63
2015,9,de 85 à 89 ans,Diabète,8690,1520.0,17.49
2015,9,de 85 à 89 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",8690,2490.0,28.65
2015,9,de 85 à 89 ans,Insuffisance rénale chronique terminale,8700,20.0,0.23
2015,9,de 85 à 89 ans,Maladies cardioneurovasculaires,126010,12650.0,10.04
2015,9,de 85 à 89 ans,Maladies du foie ou du pancréas (hors mucoviscidose),8690,160.0,1.84
2015,9,de 85 à 89 ans,Maladies inflammatoires ou rares ou infection VIH,48950,860.0,1.76
2015,9,de 85 à 89 ans,Maladies neurologiques,39110,3540.0,9.05
2015,9,de 85 à 89 ans,Maladies psychiatriques,37510,1480.0,3.95
2015,9,de 85 à 89 ans,Maladies respiratoires chroniques (hors mucoviscidose),8690,1220.0,14.04
2015,9,de 85 à 89 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",7090,50.0,0.71
2015,9,de 85 à 89 ans,Traitements du risque vasculaire (hors pathologies),26070,7520.0,28.85
2015,9,de 85 à 89 ans,Traitements psychotropes (hors pathologies),43450,6990.0,16.09
2015,9,de 90 à 94 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,4550,470.0,10.33
2015,9,de 90 à 94 ans,Cancers,39920,2130.0,5.34
2015,9,de 90 à 94 ans,Diabète,4550,640.0,14.07
2015,9,de 90 à 94 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",4550,1300.0,28.57
2015,9,de 90 à 94 ans,Maladies cardioneurovasculaires,63070,7830.0,12.41
2015,9,de 90 à 94 ans,Maladies du foie ou du pancréas (hors mucoviscidose),4550,90.0,1.98
2015,9,de 90 à 94 ans,Maladies inflammatoires ou rares ou infection VIH,15680,270.0,1.72
2015,9,de 90 à 94 ans,Maladies neurologiques,18200,2580.0,14.18
2015,9,de 90 à 94 ans,Maladies psychiatriques,16940,730.0,4.31
2015,9,de 90 à 94 ans,Maladies respiratoires chroniques (hors mucoviscidose),4550,640.0,14.07
2015,9,de 90 à 94 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",2280,10.0,0.44
2015,9,de 90 à 94 ans,Traitements du risque vasculaire (hors pathologies),13650,3320.0,24.32
2015,9,de 90 à 94 ans,Traitements psychotropes (hors pathologies),22750,3780.0,16.62
2015,9,plus de 95 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,1180,120.0,10.17
2015,9,plus de 95 ans,Cancers,4720,320.0,6.78
2015,9,plus de 95 ans,Diabète,1180,140.0,11.86
2015,9,plus de 95 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",1180,320.0,27.12
2015,9,plus de 95 ans,Maladies cardioneurovasculaires,14330,2090.0,14.58
2015,9,plus de 95 ans,Maladies inflammatoires ou rares ou infection VIH,1180,20.0,1.69
2015,9,plus de 95 ans,Maladies neurologiques,2360,700.0,29.66
2015,9,plus de 95 ans,Maladies psychiatriques,2080,110.0,5.29
2015,9,plus de 95 ans,Maladies respiratoires chroniques (hors mucoviscidose),1180,140.0,11.86
2015,9,plus de 95 ans,Traitements du risque vasculaire (hors pathologies),3400,730.0,21.47
2015,9,plus de 95 ans,Traitements psychotropes (hors pathologies),5760,1040.0,18.06
2015,9,tous âges,Affections de longue durée (dont 31 et 32) pour d'autres causes,289960,7800.0,2.69
2015,9,tous âges,Cancers,3769480,46890.0,1.24
2015,9,tous âges,Diabète,289960,17660.0,6.09
2015,9,tous âges,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",289960,43900.0,15.14
2015,9,tous âges,Insuffisance rénale chronique terminale,1014860,830.0,0.08
2015,9,tous âges,Maladies cardioneurovasculaires,4349400,82440.0,1.9
2015,9,tous âges,Maladies du foie ou du pancréas (hors mucoviscidose),289960,2900.0,1.0
2015,9,tous âges,Maladies inflammatoires ou rares ou infection VIH,2899600,14160.0,0.49
2015,9,tous âges,Maladies neurologiques,2319680,19100.0,0.82
2015,9,tous âges,Maladies psychiatriques,2029720,28940.0,1.43
2015,9,tous âges,Maladies respiratoires chroniques (hors mucoviscidose),289960,18590.0,6.41
2015,9,tous âges,Maternité (avec ou sans pathologies),150660,4740.0,3.15
2015,9,tous âges,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",289960,5080.0,1.75
2015,9,tous âges,Traitements du risque vasculaire (hors pathologies),869880,95000.0,10.92
2015,9,tous âges,Traitements psychotropes (hors pathologies),1449800,70790.0,4.88
2015,11,de 0 à 4 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,35380,400.0,1.13
2015,11,de 0 à 4 ans,Cancers,35380,40.0,0.11
2015,11,de 0 à 4 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",35380,9230.0,26.09
2015,11,de 0 à 4 ans,Maladies cardioneurovasculaires,123830,230.0,0.19
2015,11,de 0 à 4 ans,Maladies inflammatoires ou rares ou infection VIH,115220,200.0,0.17
2015,11,de 0 à 4 ans,Maladies neurologiques,88450,340.0,0.38
2015,11,de 0 à 4 ans,Maladies psychiatriques,97530,280.0,0.29
2015,11,de 0 à 4 ans,Maladies respiratoires chroniques (hors mucoviscidose),35380,2940.0,8.31
2015,11,de 0 à 4 ans,"Traitements antalgiques ou anti-inflammatoires (hors pathologies, traitements, maternité ou hospitalisations)",35380,3340.0,9.44
2015,11,de 10 à 14 ans,Affections de longue durée (dont 31 et 32) pour d'autres causes,39340,500.0,1.27
2015,11,de 10 à 14 ans,Cancers,107420,140.0,0.13
2015,11,de 10 à 14 ans,Diabète,39340,100.0,0.25
2015,11,de 10 à 14 ans,"Hospitalisations hors pathologies repérées (avec ou sans pathologies, traitements ou maternité)",39340,2080.0,5.29
2015,11,de 10 à 14 ans,Maladies cardioneurovasculaires,78680,280.0,0.36
2015,11,de 10 à 14 ans,Maladies inflammatoires ou rares ou infection VIH,196700,420.0,0.21
